datetime,station,temp_c,dewpoint_c,relative_humidity,wind_speed_mps,precipitation_mm,latitude,longitude,elevation_m,source_type
2019-01-01 00:00:00,IOW,1.1111111111111112,0.0,92.29,4.432132923076923,0.0,41.6394,-91.5445,204.0,public observation
2019-01-01 01:00:00,IOW,1.1111111111111112,-0.6111111111111138,88.27,5.041551200000001,0.0,41.6394,-91.5445,204.0,public observation
2019-01-01 02:00:00,IOW,0.5555555555555556,-1.722222222222223,84.36,6.094182769230771,0.0,41.6394,-91.5445,204.0,public observation
2019-01-01 03:00:00,IOW,0.5555555555555556,-1.722222222222223,84.36,5.401662,0.0,41.6394,-91.5445,204.0,public observation
2019-01-01 04:00:00,IOW,0.5555555555555556,-2.2222222222222223,81.3,5.381875692307693,0.0,41.6394,-91.5445,204.0,public observation
2019-01-01 05:00:00,IOW,0.5555555555555556,-2.2222222222222223,81.3,4.4830119999999996,0.0,41.6394,-91.5445,204.0,public observation
2019-01-01 06:00:00,IOW,0.5555555555555556,-2.2222222222222223,81.3,4.850472,0.0,41.6394,-91.5445,204.0,public observation
2019-01-01 07:00:00,IOW,0.2777777777777778,-2.2222222222222223,83.14,4.005314,0.0,41.6394,-91.5445,204.0,public observation
2019-01-01 08:00:00,IOW,-0.40740740740740794,-3.277777777777775,80.96,5.281625066666667,0.0,41.6394,-91.5445,204.0,public observation
2019-01-01 09:00:00,IOW,-0.8611111111111115,-4.138888888888889,78.44,5.438408,0.0,41.6394,-91.5445,204.0,public observation
2019-01-01 10:00:00,IOW,-1.722222222222223,-5.611111111111112,74.76,5.500593538461538,0.0,41.6394,-91.5445,204.0,public observation
2019-01-01 11:00:00,IOW,-1.722222222222223,-6.111111111111111,71.96,4.075979384615385,0.0,41.6394,-91.5445,204.0,public observation
2019-01-01 12:00:00,IOW,-2.2222222222222223,-6.111111111111111,74.67,4.075979384615385,0.0,41.6394,-91.5445,204.0,public observation
2019-01-01 13:00:00,IOW,-3.277777777777777,-5.611111111111112,83.89,5.0257221538461545,0.0,41.6394,-91.5445,204.0,public observation
